,Notes,PC Set,Prime Form,Accidents
142,Cb Db En F# Gb A# Bn,B1466AB,0025778,"(-1, -1, 0, 1, -1, 1, 0)"
143,Cb Db En F# Gb A# B#,B1466A0,002578A,"(-1, -1, 0, 1, -1, 1, 1)"
144,Cb Db En F# Gn Ab Bb,B14678A,0234679,"(-1, -1, 0, 1, 0, -1, -1)"
145,Cb Db En F# Gn Ab Bn,B14678B,0225679,"(-1, -1, 0, 1, 0, -1, 0)"
146,Cb Db En F# Gn Ab B#,B146780,012479A,"(-1, -1, 0, 1, 0, -1, 1)"
147,Cb Db En F# Gn An Bb,B14679A,0234679,"(-1, -1, 0, 1, 0, 0, -1)"
148,Cb Db En F# Gn An Bn,B14679B,0224679,"(-1, -1, 0, 1, 0, 0, 0)"
149,Cb Db En F# Gn An B#,B146790,023589B,"(-1, -1, 0, 1, 0, 0, 1)"
150,Cb Db En F# Gn A# Bb,B1467AA,0233679,"(-1, -1, 0, 1, 0, 1, -1)"
151,Cb Db En F# Gn A# Bn,B1467AB,0223679,"(-1, -1, 0, 1, 0, 1, 0)"
152,Cb Db En F# Gn A# B#,B1467A0,023589B,"(-1, -1, 0, 1, 0, 1, 1)"
153,Cb Db En F# G# Ab Bb,B14688A,0235579,"(-1, -1, 0, 1, 1, -1, -1)"
154,Cb Db En F# G# Ab Bn,B14688B,0225579,"(-1, -1, 0, 1, 1, -1, 0)"
155,Cb Db En F# G# Ab B#,B146880,002479A,"(-1, -1, 0, 1, 1, -1, 1)"
156,Cb Db En F# G# An Bb,B14689A,0234579,"(-1, -1, 0, 1, 1, 0, -1)"
157,Cb Db En F# G# An Bn,B14689B,0224579,"(-1, -1, 0, 1, 1, 0, 0)"
158,Cb Db En F# G# An B#,B146890,023679B,"(-1, -1, 0, 1, 1, 0, 1)"
159,Cb Db En F# G# A# Bb,B1468AA,0233579,"(-1, -1, 0, 1, 1, 1, -1)"
160,Cb Db En F# G# A# Bn,B1468AB,0223579,"(-1, -1, 0, 1, 1, 1, 0)"
161,Cb Db En F# G# A# B#,B1468A0,023579B,"(-1, -1, 0, 1, 1, 1, 1)"
162,Cb Db E# Fb Gb Ab Bb,B15468A,013578A,"(-1, -1, 1, -1, -1, -1, -1)"
163,Cb Db E# Fb Gb Ab Bn,B15468B,013588A,"(-1, -1, 1, -1, -1, -1, 0)"
164,Cb Db E# Fb Gb Ab B#,B154680,01359A0,"(-1, -1, 1, -1, -1, -1, 1)"
165,Cb Db E# Fb Gb An Bb,B15469A,013678A,"(-1, -1, 1, -1, -1, 0, -1)"
166,Cb Db E# Fb Gb An Bn,B15469B,013688A,"(-1, -1, 1, -1, -1, 0, 0)"
167,Cb Db E# Fb Gb An B#,B154690,01369A0,"(-1, -1, 1, -1, -1, 0, 1)"
168,Cb Db E# Fb Gb A# Bb,B1546AA,013778A,"(-1, -1, 1, -1, -1, 1, -1)"
169,Cb Db E# Fb Gb A# Bn,B1546AB,013788A,"(-1, -1, 1, -1, -1, 1, 0)"
170,Cb Db E# Fb Gb A# B#,B1546A0,01379A0,"(-1, -1, 1, -1, -1, 1, 1)"
171,Cb Db E# Fb Gn Ab Bb,B15478A,014578A,"(-1, -1, 1, -1, 0, -1, -1)"
172,Cb Db E# Fb Gn Ab Bn,B15478B,014588A,"(-1, -1, 1, -1, 0, -1, 0)"
173,Cb Db E# Fb Gn Ab B#,B154780,01459A0,"(-1, -1, 1, -1, 0, -1, 1)"
174,Cb Db E# Fb Gn An Bb,B15479A,014678A,"(-1, -1, 1, -1, 0, 0, -1)"
175,Cb Db E# Fb Gn An Bn,B15479B,014688A,"(-1, -1, 1, -1, 0, 0, 0)"
176,Cb Db E# Fb Gn An B#,B154790,01469A0,"(-1, -1, 1, -1, 0, 0, 1)"
177,Cb Db E# Fb Gn A# Bb,B1547AA,014778A,"(-1, -1, 1, -1, 0, 1, -1)"
178,Cb Db E# Fb Gn A# Bn,B1547AB,014788A,"(-1, -1, 1, -1, 0, 1, 0)"
179,Cb Db E# Fb Gn A# B#,B1547A0,01479A0,"(-1, -1, 1, -1, 0, 1, 1)"
180,Cb Db E# Fb G# Ab Bb,B15488A,015578A,"(-1, -1, 1, -1, 1, -1, -1)"
181,Cb Db E# Fb G# Ab Bn,B15488B,015588A,"(-1, -1, 1, -1, 1, -1, 0)"
182,Cb Db E# Fb G# Ab B#,B154880,01559A0,"(-1, -1, 1, -1, 1, -1, 1)"
183,Cb Db E# Fb G# An Bb,B15489A,015678A,"(-1, -1, 1, -1, 1, 0, -1)"
184,Cb Db E# Fb G# An Bn,B15489B,015688A,"(-1, -1, 1, -1, 1, 0, 0)"
185,Cb Db E# Fb G# An B#,B154890,01569A0,"(-1, -1, 1, -1, 1, 0, 1)"
186,Cb Db E# Fb G# A# Bb,B1548AA,015778A,"(-1, -1, 1, -1, 1, 1, -1)"
187,Cb Db E# Fb G# A# Bn,B1548AB,015788A,"(-1, -1, 1, -1, 1, 1, 0)"
188,Cb Db E# Fb G# A# B#,B1548A0,01579A0,"(-1, -1, 1, -1, 1, 1, 1)"
189,Cb Db E# Fn Gb Ab Bb,B15568A,0013568,"(-1, -1, 1, 0, -1, -1, -1)"
190,Cb Db E# Fn Gb Ab Bn,B15568B,0013668,"(-1, -1, 1, 0, -1, -1, 0)"
191,Cb Db E# Fn Gb Ab B#,B155680,001378A,"(-1, -1, 1, 0, -1, -1, 1)"
192,Cb Db E# Fn Gb An Bb,B15569A,0014568,"(-1, -1, 1, 0, -1, 0, -1)"
193,Cb Db E# Fn Gb An Bn,B15569B,0014668,"(-1, -1, 1, 0, -1, 0, 0)"
194,Cb Db E# Fn Gb An B#,B155690,001478A,"(-1, -1, 1, 0, -1, 0, 1)"
195,Cb Db E# Fn Gb A# Bb,B1556AA,0015568,"(-1, -1, 1, 0, -1, 1, -1)"
196,Cb Db E# Fn Gb A# Bn,B1556AB,0015668,"(-1, -1, 1, 0, -1, 1, 0)"
