Index,Notes (radial),Notes (scalar),PC Set,Prime Form,Forte class,Accidents,1,2,3,4,5,6
11002,Db Cb Bn En Fb Gb A#,Cb Db En Fb Gb A# Bn,1BB446A,01368,5-29,"(0, 0, 1, 1, 0, 0, 2)",1,2,2,1,3,1
11010,Db Cb Bn En Fb Gn Ab,Cb Db En Fb Gn Ab Bn,1BB4478,01469,5-32,"(0, 0, 1, 1, 0, 1, 0)",1,1,3,2,2,1
11011,Db Cb Bn En Fb Gn An,Cb Db En Fb Gn An Bn,1BB4479,02469,5-34,"(0, 0, 1, 1, 0, 1, 1)",0,3,2,2,2,1
11012,Db Cb Bn En Fb Gn A#,Cb Db En Fb Gn A# Bn,1BB447A,01369,5-31,"(0, 0, 1, 1, 0, 1, 2)",1,1,4,1,1,2
11020,Db Cb Bn En Fb G# Ab,Cb Db En Fb G# Ab Bn,1BB4488,0358,4-26,"(0, 0, 1, 1, 0, 2, 0)",0,1,2,1,2,0
11021,Db Cb Bn En Fb G# An,Cb Db En Fb G# An Bn,1BB4489,01358,5-27,"(0, 0, 1, 1, 0, 2, 1)",1,2,2,2,3,0
11022,Db Cb Bn En Fb G# A#,Cb Db En Fb G# A# Bn,1BB448A,02358,5-25,"(0, 0, 1, 1, 0, 2, 2)",1,2,3,1,2,1
11100,Db Cb Bn En Fn Gb Ab,Cb Db En Fn Gb Ab Bn,1BB4568,012479,6-47,"(0, 0, 1, 1, 1, 0, 0)",2,3,3,2,4,1
11101,Db Cb Bn En Fn Gb An,Cb Db En Fn Gb An Bn,1BB4569,012579,6-48,"(0, 0, 1, 1, 1, 0, 1)",2,3,2,3,4,1
11102,Db Cb Bn En Fn Gb A#,Cb Db En Fn Gb A# Bn,1BB456A,012578,6-18,"(0, 0, 1, 1, 1, 0, 2)",3,2,2,2,4,2
11110,Db Cb Bn En Fn Gn Ab,Cb Db En Fn Gn Ab Bn,1BB4578,013479,6-49,"(0, 0, 1, 1, 1, 1, 0)",2,2,4,3,2,2
11111,Db Cb Bn En Fn Gn An,Cb Db En Fn Gn An Bn,1BB4579,013579,6-34,"(0, 0, 1, 1, 1, 1, 1)",1,4,2,4,2,2
11112,Db Cb Bn En Fn Gn A#,Cb Db En Fn Gn A# Bn,1BB457A,013679,6-30,"(0, 0, 1, 1, 1, 1, 2)",2,2,4,2,2,3
11120,Db Cb Bn En Fn G# Ab,Cb Db En Fn G# Ab Bn,1BB4588,01469,5-32,"(0, 0, 1, 1, 1, 2, 0)",1,1,3,2,2,1
11121,Db Cb Bn En Fn G# An,Cb Db En Fn G# An Bn,1BB4589,013589,6-31,"(0, 0, 1, 1, 1, 2, 1)",2,2,3,4,3,1
11122,Db Cb Bn En Fn G# A#,Cb Db En Fn G# A# Bn,1BB458A,014679,6-50,"(0, 0, 1, 1, 1, 2, 2)",2,2,4,2,3,2
11200,Db Cb Bn En F# Gb Ab,Cb Db En F# Gb Ab Bn,1BB4668,02479,5-35,"(0, 0, 1, 1, 2, 0, 0)",0,3,2,1,4,0
11201,Db Cb Bn En F# Gb An,Cb Db En F# Gb An Bn,1BB4669,02479,5-35,"(0, 0, 1, 1, 2, 0, 1)",0,3,2,1,4,0
11202,Db Cb Bn En F# Gb A#,Cb Db En F# Gb A# Bn,1BB466A,01368,5-29,"(0, 0, 1, 1, 2, 0, 2)",1,2,2,1,3,1
11210,Db Cb Bn En F# Gn Ab,Cb Db En F# Gn Ab Bn,1BB4678,012479,6-47,"(0, 0, 1, 1, 2, 1, 0)",2,3,3,2,4,1
11211,Db Cb Bn En F# Gn An,Cb Db En F# Gn An Bn,1BB4679,023579,6-33,"(0, 0, 1, 1, 2, 1, 1)",1,4,3,2,4,1
11212,Db Cb Bn En F# Gn A#,Cb Db En F# Gn A# Bn,1BB467A,013689,6-29,"(0, 0, 1, 1, 2, 1, 2)",2,2,4,2,3,2
11220,Db Cb Bn En F# G# Ab,Cb Db En F# G# Ab Bn,1BB4688,02479,5-35,"(0, 0, 1, 1, 2, 2, 0)",0,3,2,1,4,0
11221,Db Cb Bn En F# G# An,Cb Db En F# G# An Bn,1BB4689,024579,6-32,"(0, 0, 1, 1, 2, 2, 1)",1,4,3,2,5,0
